Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d20_OLSR_1.csv,1441,618,0.992811,+1.0888e+10ns,42.8869,2
Iteration_d20_OLSR_2.csv,1418,725,1.22619,+6.19431e+09ns,51.1283,3
Iteration_d20_OLSR_3.csv,1404,744,1.24892,+1.13573e+10ns,52.9915,4
Iteration_d20_OLSR_4.csv,1402,609,0.970046,+8.29215e+09ns,43.4379,5
Iteration_d20_OLSR_5.csv,1408,704,1.19432,+6.49222e+09ns,50,6
Iteration_d20_OLSR_6.csv,1407,705,1.19859,+2.36502e+10ns,50.1066,7
Iteration_d20_OLSR_7.csv,1395,603,0.963802,+2.77749e+10ns,43.2258,8
Iteration_d20_OLSR_8.csv,1376,697,1.19172,+1.67351e+10ns,50.6541,9
Iteration_d20_OLSR_9.csv,1387,733,1.24182,+1.64337e+10ns,52.8479,10
Iteration_d20_OLSR_10.csv,1415,718,1.22491,+9.83261e+09ns,50.742,11
Iteration_d20_OLSR_11.csv,1400,716,1.01095,+1.66547e+10ns,51.1429,12
Iteration_d20_OLSR_12.csv,1401,727,1.23654,+1.66081e+10ns,51.8915,13
Iteration_d20_OLSR_13.csv,1374,635,1.0113,+1.44322e+10ns,46.2154,14
Iteration_d20_OLSR_14.csv,1388,622,1.00566,+8.37354e+09ns,44.8127,15
Iteration_d20_OLSR_15.csv,1370,707,1.20411,+8.67991e+09ns,51.6058,16
Iteration_d20_OLSR_16.csv,1382,717,1.21498,+2.33365e+10ns,51.8813,17
Iteration_d20_OLSR_17.csv,1359,622,0.991807,+1.6559e+10ns,45.7689,18
Iteration_d20_OLSR_18.csv,1422,614,0.999792,+1.06172e+10ns,43.1786,19
Iteration_d20_OLSR_19.csv,1389,607,0.969161,+2.18817e+10ns,43.7005,20
Iteration_d20_OLSR_20.csv,1405,615,0.998755,+2.5259e+10ns,43.7722,21
Iteration_d20_OLSR_21.csv,1419,744,1.26026,+1.66341e+10ns,52.4313,22
Iteration_d20_OLSR_22.csv,1377,709,0.995159,+1.5453e+10ns,51.4887,23
Iteration_d20_OLSR_23.csv,1358,622,1.00494,+6.03122e+09ns,45.8027,24
Iteration_d20_OLSR_24.csv,1419,636,0.859343,+8.33689e+09ns,44.8203,25
Iteration_d20_OLSR_25.csv,1428,771,1.31039,+1.87265e+10ns,53.9916,26
Iteration_d20_OLSR_26.csv,1383,737,1.25064,+6.11586e+09ns,53.2899,27
Iteration_d20_OLSR_27.csv,1378,607,0.971289,+1.65466e+10ns,44.0493,28
Iteration_d20_OLSR_28.csv,1392,702,1.1909,+8.36271e+09ns,50.431,29
Iteration_d20_OLSR_29.csv,1414,743,1.25768,+1.43959e+10ns,52.546,30
Iteration_d20_OLSR_30.csv,1415,622,1.01405,+1.70913e+10ns,43.9576,31
