Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.17,10.1.1.7,399,187,46.8672,137.632,17204,+1.54287e+10ns,1.54637,AODV,60,25,10,7.5,30,3
2,10.1.1.18,10.1.1.8,399,157,39.3484,115.552,14444,+1.08405e+10ns,1.48143,AODV,60,25,10,7.5,30,3
3,10.1.1.16,10.1.1.59,32,32,100,11.728,1466,+2.71314e+08ns,0.139666,AODV,60,25,10,7.5,30,3
4,10.1.1.16,10.1.1.8,11,11,100,3.728,466,+7.99681e+07ns,0.461134,AODV,60,25,10,7.5,30,3
5,10.1.1.59,10.1.1.16,54,52,96.2963,19.696,2462,+3.97179e+08ns,0.227763,AODV,60,25,10,7.5,30,3
6,10.1.1.59,10.1.1.58,15,9,60,3.248,406,+1.66827e+07ns,0.040466,AODV,60,25,10,7.5,30,3
7,10.1.1.58,10.1.1.18,17,17,100,6.256,782,+1.86561e+07ns,0.869967,AODV,60,25,10,7.5,30,3
8,10.1.1.15,10.1.1.5,398,72,18.0905,52.992,6624,+4.25726e+10ns,0.646202,AODV,60,25,10,7.5,30,3
9,10.1.1.12,10.1.1.2,397,26,6.54912,19.136,2392,+8.87613e+09ns,0.193286,AODV,60,25,10,7.5,30,3
10,10.1.1.47,10.1.1.12,57,57,100,20.848,2606,+1.26717e+08ns,0.268169,AODV,60,25,10,7.5,30,3
11,10.1.1.47,10.1.1.2,3,3,100,0.864,108,+1.037e+09ns,0.145458,AODV,60,25,10,7.5,30,3
12,10.1.1.38,10.1.1.34,5,5,100,1.856,232,+2.98848e+07ns,0.0236856,AODV,60,25,10,7.5,30,3
13,10.1.1.38,10.1.1.2,6,6,100,2.24,280,+2.02477e+09ns,0.348059,AODV,60,25,10,7.5,30,3
14,10.1.1.21,10.1.1.34,12,9,75,2.896,362,+2.95996e+09ns,0.0360547,AODV,60,25,10,7.5,30,3
15,10.1.1.21,10.1.1.2,6,5,83.3333,1.568,196,+2.12117e+07ns,0.243901,AODV,60,25,10,7.5,30,3
16,10.1.1.34,10.1.1.38,10,10,100,3.552,444,+1.05887e+09ns,0.0447684,AODV,60,25,10,7.5,30,3
17,10.1.1.34,10.1.1.12,4,3,75,1.152,144,+4.54531e+06ns,0.177366,AODV,60,25,10,7.5,30,3
18,10.1.1.26,10.1.1.3,64,64,100,23.84,2980,+3.69769e+08ns,0.417756,AODV,60,25,10,7.5,30,3
19,10.1.1.26,10.1.1.2,1,0,0,0,0,+0ns,-0,AODV,60,25,10,7.5,30,3
20,10.1.1.10,10.1.1.3,15,12,80,4.128,516,+4.46395e+07ns,0.57829,AODV,60,25,10,7.5,30,3
21,10.1.1.10,10.1.1.2,25,23,92,8.496,1062,+2.04323e+09ns,0.242661,AODV,60,25,10,7.5,30,3
22,10.1.1.3,10.1.1.26,14,14,100,4.88,610,+7.26995e+07ns,0.0768511,AODV,60,25,10,7.5,30,3
23,10.1.1.3,10.1.1.37,4,4,100,1.472,184,+9.49489e+07ns,0.238623,AODV,60,25,10,7.5,30,3
24,10.1.1.3,10.1.1.10,7,7,100,2.4,300,+1.81757e+08ns,0.334766,AODV,60,25,10,7.5,30,3
25,10.1.1.37,10.1.1.12,5,5,100,1.856,232,+4.07585e+07ns,0.0244923,AODV,60,25,10,7.5,30,3
