Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d80_AODV_1.csv,20569,16082,8.30631,+1.16485e+12ns,78.1856,10
Iteration_d80_AODV_2.csv,29017,24239,10.3363,+1.54435e+12ns,83.5338,11
Iteration_d80_AODV_3.csv,27732,22681,10.2252,+1.4281e+12ns,81.7864,12
Iteration_d80_AODV_4.csv,28773,24069,8.68655,+1.51838e+12ns,83.6513,13
Iteration_d80_AODV_5.csv,24219,19724,12.5094,+1.33107e+12ns,81.4402,14
Iteration_d80_AODV_6.csv,27171,22353,10.962,+1.46722e+12ns,82.2679,15
Iteration_d80_AODV_7.csv,25522,20476,7.9632,+1.36433e+12ns,80.2288,16
Iteration_d80_AODV_8.csv,24413,19720,10.366,+1.28707e+12ns,80.7766,17
Iteration_d80_AODV_9.csv,25357,20730,8.78501,+1.33671e+12ns,81.7526,18
Iteration_d80_AODV_10.csv,32445,27014,7.83884,+1.65409e+12ns,83.2609,19
Iteration_d80_AODV_11.csv,24237,19307,9.95088,+1.44348e+12ns,79.6592,20
Iteration_d80_AODV_12.csv,25545,20984,10.7257,+1.31801e+12ns,82.1452,21
Iteration_d80_AODV_13.csv,20862,16544,12.1847,+1.20331e+12ns,79.3021,22
Iteration_d80_AODV_14.csv,26086,21116,8.2312,+1.43494e+12ns,80.9476,23
Iteration_d80_AODV_15.csv,26714,21945,10.9411,+1.39465e+12ns,82.1479,24
Iteration_d80_AODV_16.csv,23268,18665,11.1696,+1.2195e+12ns,80.2175,25
Iteration_d80_AODV_17.csv,26970,21901,9.17666,+1.44285e+12ns,81.205,26
Iteration_d80_AODV_18.csv,22273,17518,9.94219,+1.28361e+12ns,78.6513,27
Iteration_d80_AODV_19.csv,28484,23205,9.34711,+1.46934e+12ns,81.4668,28
Iteration_d80_AODV_20.csv,25630,20916,7.90996,+1.30394e+12ns,81.6075,29
Iteration_d80_AODV_21.csv,29831,24801,8.24504,+1.48892e+12ns,83.1383,30
Iteration_d80_AODV_22.csv,30098,25684,10.011,+1.51683e+12ns,85.3346,31
Iteration_d80_AODV_23.csv,23479,18529,10.336,+1.28796e+12ns,78.9173,32
Iteration_d80_AODV_24.csv,31639,26493,9.20102,+1.57904e+12ns,83.7353,33
Iteration_d80_AODV_25.csv,28484,23781,10.3334,+1.56847e+12ns,83.489,34
Iteration_d80_AODV_26.csv,28236,22894,13.0269,+1.46046e+12ns,81.0809,35
Iteration_d80_AODV_27.csv,25511,20695,9.35048,+1.47751e+12ns,81.1219,36
Iteration_d80_AODV_28.csv,22794,17909,10.5389,+1.4473e+12ns,78.5689,37
Iteration_d80_AODV_29.csv,24616,19720,9.18192,+1.36314e+12ns,80.1105,38
Iteration_d80_AODV_30.csv,25246,20588,9.96268,+1.40037e+12ns,81.5496,39
Iteration_d80_AODV_31.csv,23807,19197,10.1092,+1.29657e+12ns,80.6359,40
Iteration_d80_AODV_32.csv,28717,23845,9.65335,+1.44428e+12ns,83.0344,41
Iteration_d80_AODV_33.csv,26845,21669,8.74634,+1.55341e+12ns,80.7189,42
Iteration_d80_AODV_34.csv,23990,19273,9.59447,+1.21263e+12ns,80.3376,43
Iteration_d80_AODV_35.csv,23467,18760,9.18209,+1.35201e+12ns,79.942,44
Iteration_d80_AODV_36.csv,28115,23613,8.82352,+1.46355e+12ns,83.9872,45
Iteration_d80_AODV_37.csv,31590,26623,8.7915,+1.55279e+12ns,84.2767,46
Iteration_d80_AODV_38.csv,30421,25009,9.87735,+1.42932e+12ns,82.2097,47
Iteration_d80_AODV_39.csv,25198,20168,9.76737,+1.36009e+12ns,80.0381,48
Iteration_d80_AODV_40.csv,33781,28864,8.6267,+1.65332e+12ns,85.4445,49
