Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.11,10.1.1.1,334,95,28.4431,69.92,8740,+8.84558e+07ns,2.35023,OLSR,40,25,10,7.5,44,3
2,10.1.1.14,10.1.1.4,352,169,48.0114,124.384,15548,+1.84036e+08ns,2.09011,OLSR,40,25,10,7.5,44,3
3,10.1.1.19,10.1.1.9,397,372,93.7028,273.792,34224,+1.5615e+08ns,2.95192,OLSR,40,25,10,7.5,44,3
4,10.1.1.13,10.1.1.3,220,108,49.0909,79.488,9936,+1.6363e+09ns,0.804935,OLSR,40,25,10,7.5,44,3
5,10.1.1.15,10.1.1.5,396,396,100,291.456,36432,+1.43476e+08ns,2.95144,OLSR,40,25,10,7.5,44,3
6,10.1.1.20,10.1.1.10,164,0,0,0,0,+0ns,-0,OLSR,40,25,10,7.5,44,3
7,10.1.1.16,10.1.1.6,232,132,56.8966,97.152,12144,+1.52027e+08ns,1.05887,OLSR,40,25,10,7.5,44,3
8,10.1.1.17,10.1.1.7,318,263,82.7044,193.568,24196,+3.02352e+08ns,2.44249,OLSR,40,25,10,7.5,44,3
9,10.1.1.18,10.1.1.8,158,88,55.6962,64.768,8096,+1.65815e+08ns,1.919,OLSR,40,25,10,7.5,44,3
10,10.1.1.12,10.1.1.2,101,1,0.990099,0.736,92,+3.3163e+06ns,0.0229976,OLSR,40,25,10,7.5,44,3
