Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d80_OLSR_1.csv,2658,1003,1.38264,+1.28328e+10ns,37.7351,10
Iteration_d80_OLSR_2.csv,2988,1038,1.19739,+6.18305e+09ns,34.739,11
Iteration_d80_OLSR_3.csv,2585,975,1.22705,+1.22213e+10ns,37.7176,12
Iteration_d80_OLSR_4.csv,2741,965,0.956299,+1.75521e+10ns,35.2061,13
Iteration_d80_OLSR_5.csv,2695,1034,1.02669,+8.63993e+09ns,38.3673,14
Iteration_d80_OLSR_6.csv,2550,1030,1.15214,+4.85616e+09ns,40.3922,15
Iteration_d80_OLSR_7.csv,2783,995,1.05485,+9.02245e+09ns,35.7528,16
Iteration_d80_OLSR_8.csv,2568,1007,1.10804,+3.97862e+09ns,39.2134,17
Iteration_d80_OLSR_9.csv,2531,920,1.03154,+1.08227e+10ns,36.3493,18
Iteration_d80_OLSR_10.csv,2789,1000,1.13007,+1.04071e+10ns,35.8551,19
Iteration_d80_OLSR_11.csv,2861,1010,1.24635,+9.04846e+09ns,35.3023,20
Iteration_d80_OLSR_12.csv,2645,1027,1.09824,+1.0062e+10ns,38.828,21
Iteration_d80_OLSR_13.csv,2412,792,1.09933,+1.27911e+10ns,32.8358,22
Iteration_d80_OLSR_14.csv,2676,1022,1.1961,+3.606e+09ns,38.1913,23
Iteration_d80_OLSR_15.csv,2695,942,1.17986,+1.58477e+10ns,34.9536,24
Iteration_d80_OLSR_16.csv,2436,1048,1.34498,+8.84058e+09ns,43.0213,25
Iteration_d80_OLSR_17.csv,2678,1001,1.12904,+8.39802e+09ns,37.3786,26
Iteration_d80_OLSR_18.csv,2708,991,1.10387,+3.97904e+09ns,36.5953,27
Iteration_d80_OLSR_19.csv,2511,1039,1.19805,+1.92991e+10ns,41.3779,28
Iteration_d80_OLSR_20.csv,2433,999,1.15324,+1.82839e+10ns,41.0604,29
Iteration_d80_OLSR_21.csv,2504,1018,1.03836,+2.12502e+10ns,40.655,30
Iteration_d80_OLSR_22.csv,2614,1059,1.02541,+8.78775e+09ns,40.5126,31
Iteration_d80_OLSR_23.csv,2682,1028,1.09659,+1.39107e+10ns,38.3296,32
Iteration_d80_OLSR_24.csv,2535,981,1.31213,+4.12904e+09ns,38.6982,33
Iteration_d80_OLSR_25.csv,2524,1048,1.1233,+1.07821e+10ns,41.5214,34
Iteration_d80_OLSR_26.csv,2689,1014,1.09141,+1.83525e+10ns,37.7092,35
Iteration_d80_OLSR_27.csv,2618,1064,1.19123,+1.31874e+10ns,40.6417,36
Iteration_d80_OLSR_28.csv,2633,1064,1.16881,+1.53649e+10ns,40.4102,37
Iteration_d80_OLSR_29.csv,2563,1028,1.28859,+1.02792e+10ns,40.1092,38
Iteration_d80_OLSR_30.csv,2782,1069,1.17778,+9.90028e+09ns,38.4256,39
Iteration_d80_OLSR_31.csv,2692,1024,1.25086,+2.80653e+09ns,38.0386,40
Iteration_d80_OLSR_32.csv,2614,1024,1.19824,+1.19576e+10ns,39.1737,41
Iteration_d80_OLSR_33.csv,2697,1041,1.19831,+6.2669e+09ns,38.5984,42
Iteration_d80_OLSR_34.csv,2634,946,1.11694,+3.8171e+09ns,35.915,43
Iteration_d80_OLSR_35.csv,2591,1005,1.07,+4.15706e+09ns,38.7881,44
Iteration_d80_OLSR_36.csv,2714,993,1.18131,+1.88517e+10ns,36.5881,45
Iteration_d80_OLSR_37.csv,2439,1011,1.04022,+1.07863e+10ns,41.4514,46
Iteration_d80_OLSR_38.csv,2530,1043,1.18602,+7.52756e+09ns,41.2253,47
Iteration_d80_OLSR_39.csv,2679,988,1.03003,+1.33279e+10ns,36.8794,48
Iteration_d80_OLSR_40.csv,2798,1022,1.14468,+1.55923e+10ns,36.5261,49
