Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d20_AODV_1.csv,4765,1741,46.1355,+1.87352e+11ns,36.5373,2
Iteration_d20_AODV_2.csv,4645,1760,32.4176,+1.97807e+11ns,37.8902,4
Iteration_d20_AODV_3.csv,4684,1708,27.541,+3.0139e+11ns,36.4646,6
Iteration_d20_AODV_4.csv,4626,1877,50.3662,+1.78558e+11ns,40.575,8
Iteration_d20_AODV_5.csv,4584,1693,46.6066,+1.80152e+11ns,36.9328,10
Iteration_d20_AODV_6.csv,4654,1782,45.0153,+1.31921e+11ns,38.2896,12
Iteration_d20_AODV_7.csv,4650,1791,34.1087,+1.269e+11ns,38.5161,14
Iteration_d20_AODV_8.csv,4724,1855,18.0013,+1.52057e+11ns,39.2676,16
Iteration_d20_AODV_9.csv,4802,2071,29.6683,+2.34046e+11ns,43.1279,18
Iteration_d20_AODV_10.csv,4754,1959,31.7219,+2.26063e+11ns,41.2074,20
Iteration_d20_AODV_11.csv,4785,2106,47.7935,+1.3614e+11ns,44.0125,22
Iteration_d20_AODV_12.csv,4563,1700,42.3766,+1.04252e+11ns,37.2562,24
Iteration_d20_AODV_13.csv,4764,2194,28.6789,+2.24117e+11ns,46.0537,26
Iteration_d20_AODV_14.csv,4539,1627,42.3533,+9.41487e+10ns,35.8449,28
Iteration_d20_AODV_15.csv,4638,1821,21.7148,+1.29895e+11ns,39.2626,30
Iteration_d20_AODV_16.csv,4636,1702,49.9636,+7.85345e+10ns,36.7127,32
Iteration_d20_AODV_17.csv,4680,1938,28.9577,+3.95496e+11ns,41.4103,34
Iteration_d20_AODV_18.csv,4832,2022,46.2983,+2.1941e+11ns,41.846,36
Iteration_d20_AODV_19.csv,4736,2036,28.1085,+1.19511e+11ns,42.9899,38
Iteration_d20_AODV_20.csv,4670,1879,34.8934,+1.90044e+11ns,40.2355,40
Iteration_d20_AODV_21.csv,4690,1898,34.2203,+2.1354e+11ns,40.4691,42
Iteration_d20_AODV_22.csv,4604,1675,27.8678,+1.12349e+11ns,36.3814,44
Iteration_d20_AODV_23.csv,4634,1740,29.0419,+1.60944e+11ns,37.5486,46
Iteration_d20_AODV_24.csv,4732,1827,34.6767,+2.12454e+11ns,38.6095,48
Iteration_d20_AODV_25.csv,4647,1778,37.4604,+1.45169e+11ns,38.2612,50
Iteration_d20_AODV_26.csv,4689,1793,42.0555,+1.4665e+11ns,38.2384,52
Iteration_d20_AODV_27.csv,4499,1434,33.2735,+1.24121e+11ns,31.8737,54
Iteration_d20_AODV_28.csv,4584,1728,41.967,+1.00266e+11ns,37.6963,56
Iteration_d20_AODV_29.csv,4686,1889,26.821,+2.33182e+11ns,40.3116,58
Iteration_d20_AODV_30.csv,4605,1688,25.2815,+1.09416e+11ns,36.6558,60
Iteration_d20_AODV_31.csv,4744,2127,30.7999,+2.13435e+11ns,44.8356,62
Iteration_d20_AODV_32.csv,4741,1882,37.6261,+1.19138e+11ns,39.6963,64
Iteration_d20_AODV_33.csv,4494,1290,34.8351,+2.51306e+11ns,28.7049,66
Iteration_d20_AODV_34.csv,4711,1981,46.2696,+1.55314e+11ns,42.0505,68
Iteration_d20_AODV_35.csv,4487,1722,69.2741,+1.59337e+11ns,38.3775,70
Iteration_d20_AODV_36.csv,4609,1795,43.8999,+1.69029e+11ns,38.9455,72
Iteration_d20_AODV_37.csv,4633,1743,24.3052,+8.46629e+10ns,37.6214,74
Iteration_d20_AODV_38.csv,4840,2189,21.7325,+1.69798e+11ns,45.2273,76
Iteration_d20_AODV_39.csv,4924,2192,49.9648,+2.32814e+11ns,44.5167,78
Iteration_d20_AODV_40.csv,4694,2040,48.6868,+2.61472e+11ns,43.4597,80
