Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d40_OLSR_1.csv,2749,1641,1.57334,+1.30665e+10ns,59.6944,5
Iteration_d40_OLSR_2.csv,2640,1624,1.51345,+1.33425e+10ns,61.5152,6
Iteration_d40_OLSR_3.csv,2752,1621,1.6471,+9.10243e+09ns,58.9026,7
Iteration_d40_OLSR_4.csv,2750,1691,1.8391,+3.77446e+09ns,61.4909,8
Iteration_d40_OLSR_5.csv,2838,1681,1.75865,+2.23972e+09ns,59.2319,9
Iteration_d40_OLSR_6.csv,2787,1665,1.54256,+1.13697e+10ns,59.7417,10
Iteration_d40_OLSR_7.csv,2798,1641,2.09898,+9.1004e+09ns,58.649,11
Iteration_d40_OLSR_8.csv,2582,1654,1.5499,+8.19894e+09ns,64.0589,12
Iteration_d40_OLSR_9.csv,2701,1612,10.5125,+1.27329e+09ns,59.6816,13
Iteration_d40_OLSR_10.csv,2690,1691,2.2507,+3.23886e+09ns,62.8625,14
Iteration_d40_OLSR_11.csv,2734,1596,8.10199,+8.38581e+09ns,58.376,15
Iteration_d40_OLSR_12.csv,2562,1627,1.51614,+1.47271e+09ns,63.5051,16
Iteration_d40_OLSR_13.csv,2633,1608,2.51312,+5.252e+09ns,61.071,17
Iteration_d40_OLSR_14.csv,2634,1620,1.50405,+1.04798e+10ns,61.5034,18
Iteration_d40_OLSR_15.csv,2547,1626,1.50063,+1.67936e+09ns,63.8398,19
Iteration_d40_OLSR_16.csv,2783,1621,1.66798,+1.4041e+09ns,58.2465,20
Iteration_d40_OLSR_17.csv,2847,1685,1.58096,+4.08756e+09ns,59.1851,21
Iteration_d40_OLSR_18.csv,2769,1628,1.49931,+3.65309e+09ns,58.7938,22
Iteration_d40_OLSR_19.csv,2792,1641,2.13558,+8.51437e+09ns,58.7751,23
Iteration_d40_OLSR_20.csv,2657,1631,1.5094,+3.6152e+09ns,61.385,24
Iteration_d40_OLSR_21.csv,2725,1675,9.92225,+6.17949e+09ns,61.4679,25
Iteration_d40_OLSR_22.csv,2786,1649,1.49884,+5.96402e+09ns,59.1888,26
Iteration_d40_OLSR_23.csv,2816,1643,1.54041,+1.27823e+09ns,58.3452,27
Iteration_d40_OLSR_24.csv,2858,1651,1.52099,+4.08053e+09ns,57.7677,28
Iteration_d40_OLSR_25.csv,2729,1690,1.63324,+3.46184e+09ns,61.9274,29
Iteration_d40_OLSR_26.csv,2688,1588,1.44971,+7.47292e+09ns,59.0774,30
Iteration_d40_OLSR_27.csv,2798,1624,1.65769,+3.67414e+09ns,58.0415,31
Iteration_d40_OLSR_28.csv,2709,1479,1.60019,+8.84297e+09ns,54.5958,32
Iteration_d40_OLSR_29.csv,2791,1683,1.70357,+4.684e+09ns,60.301,33
Iteration_d40_OLSR_30.csv,2649,1626,1.94229,+6.7682e+09ns,61.3817,34
Iteration_d40_OLSR_31.csv,2580,1635,1.51508,+8.97889e+09ns,63.3721,35
Iteration_d40_OLSR_32.csv,2597,1550,6.96219,+1.25935e+09ns,59.6843,36
Iteration_d40_OLSR_33.csv,2654,1673,1.77375,+6.62678e+09ns,63.0369,37
Iteration_d40_OLSR_34.csv,2677,1594,1.67787,+3.81951e+09ns,59.5443,38
Iteration_d40_OLSR_35.csv,2765,1636,2.13886,+5.822e+09ns,59.1682,39
Iteration_d40_OLSR_36.csv,2725,1626,1.76552,+1.70888e+09ns,59.6697,40
Iteration_d40_OLSR_37.csv,2803,1644,1.9019,+7.73506e+09ns,58.6514,41
Iteration_d40_OLSR_38.csv,2784,1662,1.58739,+2.77672e+09ns,59.6983,42
Iteration_d40_OLSR_39.csv,2807,1469,1.42918,+2.58015e+09ns,52.3335,43
Iteration_d40_OLSR_40.csv,2672,1624,1.6592,+2.83193e+09ns,60.7784,44
