Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.15,10.1.1.5,399,366,91.7293,269.376,33672,+5.33497e+10ns,2.70727,AODV,50,30,10,21,5,3
2,10.1.1.20,10.1.1.10,399,278,69.6742,204.608,25576,+9.77337e+09ns,2.05635,AODV,50,30,10,21,5,3
3,10.1.1.22,10.1.1.20,15,14,93.3333,4.816,602,+1.51128e+09ns,0.0560148,AODV,50,30,10,21,5,3
4,10.1.1.22,10.1.1.10,16,0,0,0,0,+0ns,-0,AODV,50,30,10,21,5,3
5,10.1.1.33,10.1.1.20,14,13,92.8571,4.656,582,+7.68308e+09ns,0.0505841,AODV,50,30,10,21,5,3
6,10.1.1.33,10.1.1.10,21,19,90.4762,7.136,892,+1.10567e+09ns,0.0781713,AODV,50,30,10,21,5,3
7,10.1.1.32,10.1.1.20,24,24,100,8.432,1054,+2.0114e+09ns,0.0915769,AODV,50,30,10,21,5,3
8,10.1.1.32,10.1.1.10,14,14,100,5.088,636,+7.74766e+08ns,0.0552401,AODV,50,30,10,21,5,3
9,10.1.1.5,10.1.1.20,13,13,100,4.592,574,+2.65942e+08ns,0.10114,AODV,50,30,10,21,5,3
10,10.1.1.5,10.1.1.10,10,0,0,0,0,+0ns,-0,AODV,50,30,10,21,5,3
11,10.1.1.3,10.1.1.20,12,12,100,4.256,532,+1.48709e+09ns,0.0772977,AODV,50,30,10,21,5,3
12,10.1.1.3,10.1.1.10,15,14,93.3333,5.232,654,+6.78874e+09ns,0.0573124,AODV,50,30,10,21,5,3
13,10.1.1.20,10.1.1.5,24,22,91.6667,7.872,984,+1.58498e+09ns,0.161382,AODV,50,30,10,21,5,3
14,10.1.1.11,10.1.1.1,399,332,83.208,244.352,30544,+7.71829e+09ns,2.45579,AODV,50,30,10,21,5,3
15,10.1.1.16,10.1.1.6,399,340,85.213,250.24,31280,+4.54323e+09ns,2.51497,AODV,50,30,10,21,5,3
16,10.1.1.17,10.1.1.7,399,369,92.4812,271.584,33948,+4.58774e+09ns,2.72948,AODV,50,30,10,21,5,3
17,10.1.1.11,10.1.1.16,15,15,100,5.2,650,+1.17357e+09ns,0.0572865,AODV,50,30,10,21,5,3
18,10.1.1.11,10.1.1.6,4,4,100,1.392,174,+1.33949e+09ns,0.0153487,AODV,50,30,10,21,5,3
19,10.1.1.2,10.1.1.16,10,10,100,3.776,472,+5.43208e+08ns,0.0405317,AODV,50,30,10,21,5,3
20,10.1.1.2,10.1.1.6,20,0,0,0,0,+0ns,-0,AODV,50,30,10,21,5,3
21,10.1.1.29,10.1.1.16,20,19,95,7.024,878,+8.05266e+08ns,0.104335,AODV,50,30,10,21,5,3
22,10.1.1.29,10.1.1.6,5,1,20,0.384,48,+4.21578e+07ns,9.10863,AODV,50,30,10,21,5,3
23,10.1.1.17,10.1.1.16,15,15,100,5.328,666,+1.39431e+09ns,0.0538972,AODV,50,30,10,21,5,3
24,10.1.1.17,10.1.1.6,11,10,90.9091,3.552,444,+1.1845e+09ns,0.0385647,AODV,50,30,10,21,5,3
25,10.1.1.9,10.1.1.16,9,9,100,3.248,406,+8.30644e+08ns,0.0328001,AODV,50,30,10,21,5,3
26,10.1.1.9,10.1.1.6,6,5,83.3333,1.92,240,+1.12891e+09ns,0.0211461,AODV,50,30,10,21,5,3
27,10.1.1.4,10.1.1.16,16,16,100,5.424,678,+1.79009e+09ns,0.054902,AODV,50,30,10,21,5,3
28,10.1.1.4,10.1.1.6,7,0,0,0,0,+0ns,-0,AODV,50,30,10,21,5,3
29,10.1.1.19,10.1.1.16,19,18,94.7368,6.752,844,+1.40717e+09ns,0.0682905,AODV,50,30,10,21,5,3
30,10.1.1.19,10.1.1.6,12,10,83.3333,3.84,480,+1.4042e+08ns,0.0424934,AODV,50,30,10,21,5,3
31,10.1.1.48,10.1.1.16,12,12,100,4.032,504,+2.52322e+09ns,0.0407468,AODV,50,30,10,21,5,3
32,10.1.1.48,10.1.1.6,16,15,93.75,5.04,630,+1.71301e+09ns,0.0510887,AODV,50,30,10,21,5,3
