Flow_ID,Source,Dest,Sent_packets,Recv_packets,PDR_%,Recv_rate,Recv_bytes,Delay,Throughput_Kbps,Protocol,Num_Of_Nodes,Mob_Speed,Num_Of_Sinks,Trans_Power,Set_Run,Set_Seed
1,10.1.1.20,10.1.1.10,342,111,32.4561,81.696,10212,+2.4428e+09ns,0.873741,OLSR,50,50,10,10.5,5,3
2,10.1.1.17,10.1.1.7,399,374,93.7343,275.264,34408,+2.03699e+08ns,2.76646,OLSR,50,50,10,10.5,5,3
3,10.1.1.18,10.1.1.8,272,65,23.8971,47.84,5980,+8.65406e+07ns,0.480802,OLSR,50,50,10,10.5,5,3
4,10.1.1.14,10.1.1.4,368,148,40.2174,108.928,13616,+2.63012e+08ns,1.22047,OLSR,50,50,10,10.5,5,3
5,10.1.1.19,10.1.1.9,293,64,21.843,47.104,5888,+2.47838e+09ns,0.477001,OLSR,50,50,10,10.5,5,3
6,10.1.1.16,10.1.1.6,287,58,20.2091,42.688,5336,+1.02836e+08ns,0.574911,OLSR,50,50,10,10.5,5,3
7,10.1.1.11,10.1.1.1,312,92,29.4872,67.712,8464,+1.23995e+08ns,0.893884,OLSR,50,50,10,10.5,5,3
8,10.1.1.13,10.1.1.3,175,110,62.8571,80.96,10120,+1.07347e+08ns,1.42034,OLSR,50,50,10,10.5,5,3
9,10.1.1.12,10.1.1.2,37,0,0,0,0,+0ns,-0,OLSR,50,50,10,10.5,5,3
10,10.1.1.15,10.1.1.5,134,25,18.6567,18.4,2300,+1.19027e+08ns,0.322747,OLSR,50,50,10,10.5,5,3
