Filename,Total_Sent_Packets,Total_Received_Packets,AVG_Throughput_Kbps,Total_Delay,PDR_%,SetRun
Iteration_d50_m50_AODV_1.csv,4586,936,56.8788,+3.50195e+11ns,20.4099,5
Iteration_d50_m50_AODV_2.csv,4802,1211,51.6759,+6.49638e+11ns,25.2187,5
Iteration_d50_m50_AODV_3.csv,4955,1422,40.1111,+3.87397e+11ns,28.6983,5
Iteration_d50_m50_AODV_4.csv,5600,1996,40.3511,+2.06871e+11ns,35.6429,5
Iteration_d50_m50_AODV_5.csv,6295,2698,33.214,+2.47576e+11ns,42.8594,5
Iteration_d50_m50_AODV_6.csv,6157,2518,35.5508,+1.75327e+11ns,40.8965,5
Iteration_d50_m50_AODV_7.csv,7417,3925,39.2561,+3.64679e+11ns,52.919,5
Iteration_d50_m50_AODV_8.csv,10062,6477,25.8268,+4.45827e+11ns,64.3709,5
Iteration_d50_m50_AODV_9.csv,7800,4164,34.2343,+2.35523e+11ns,53.3846,5
Iteration_d50_m50_AODV_10.csv,10573,6947,19.3047,+3.71563e+11ns,65.7051,5
Iteration_d50_m50_AODV_11.csv,10812,7076,18.1641,+3.38928e+11ns,65.4458,5
Iteration_d50_m50_AODV_12.csv,14810,10915,18.4292,+4.64657e+11ns,73.7002,5
Iteration_d50_m50_AODV_13.csv,11954,8257,12.9801,+4.18309e+11ns,69.0731,5
Iteration_d50_m50_AODV_14.csv,16958,12943,10.6073,+7.02735e+11ns,76.3239,5
Iteration_d50_m50_AODV_15.csv,15340,11801,11.1365,+6.15872e+11ns,76.9296,5
Iteration_d50_m50_AODV_16.csv,14438,11110,10.7878,+6.47864e+11ns,76.9497,5
Iteration_d50_m50_AODV_17.csv,19389,15660,9.72416,+9.35251e+11ns,80.7674,5
Iteration_d50_m50_AODV_18.csv,21017,17277,7.67444,+9.52549e+11ns,82.2049,5
Iteration_d50_m50_AODV_19.csv,21844,18112,6.62537,+8.91451e+11ns,82.9152,5
Iteration_d50_m50_AODV_20.csv,22430,18922,2.8408,+1.06931e+12ns,84.3602,5
Iteration_d50_m50_AODV_21.csv,21205,17782,5.51249,+1.0058e+12ns,83.8576,5
Iteration_d50_m50_AODV_22.csv,20433,16869,3.70584,+9.73514e+11ns,82.5576,5
Iteration_d50_m50_AODV_23.csv,21835,18457,5.95092,+1.14812e+12ns,84.5294,5
Iteration_d50_m50_AODV_24.csv,24091,20485,3.17391,+1.29494e+12ns,85.0318,5
Iteration_d50_m50_AODV_25.csv,24772,21397,3.7522,+1.26453e+12ns,86.3757,5
Iteration_d50_m50_AODV_26.csv,20519,17316,3.81574,+1.0864e+12ns,84.3901,5
Iteration_d50_m50_AODV_27.csv,24603,20895,2.63753,+1.4707e+12ns,84.9287,5
Iteration_d50_m50_AODV_28.csv,24792,21025,2.42583,+1.57005e+12ns,84.8056,5
Iteration_d50_m50_AODV_29.csv,23853,19960,2.90752,+1.84611e+12ns,83.6792,5
Iteration_d50_m50_AODV_30.csv,23079,19857,1.62623,+1.56608e+12ns,86.0393,5
Iteration_d50_m50_AODV_31.csv,28044,23675,2.22326,+2.34036e+12ns,84.4209,5
Iteration_d50_m50_AODV_32.csv,23040,19514,1.30037,+1.56473e+12ns,84.6962,5
Iteration_d50_m50_AODV_33.csv,23560,20152,1.11615,+2.18087e+12ns,85.5348,5
Iteration_d50_m50_AODV_34.csv,28313,22749,0.952421,+2.78481e+12ns,80.3482,5
Iteration_d50_m50_AODV_35.csv,29512,24671,0.685522,+2.74303e+12ns,83.5965,5
Iteration_d50_m50_AODV_36.csv,28495,23793,0.786975,+2.86841e+12ns,83.4989,5
Iteration_d50_m50_AODV_37.csv,28005,23671,0.826274,+2.44277e+12ns,84.5242,5
Iteration_d50_m50_AODV_38.csv,30360,24862,0.711199,+3.42554e+12ns,81.8906,5
Iteration_d50_m50_AODV_39.csv,26725,22895,1.21144,+2.35219e+12ns,85.6688,5
Iteration_d50_m50_AODV_40.csv,28065,22382,0.602777,+3.21198e+12ns,79.7506,5
